## RECSRecommendations Upload File,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date
RUH-BOM-EN,Mumbai,riyadhair:kingdom-of-saudi-arabia,"Mumbai – the ""City of Dreams"".",https://s7g10.scene7.com/is/image/aviationservicesstage/paris-1,55,/discover-riyadh/diriyah,5000,0,BOM,RUH,SAR,en,RUH-BOM,2025-04-25T04:12:41
CDG-RUH-EN,Riyadh,riyadhair:kingdom-of-saudi-arabia,An ancient fortress symbolizing Saudi Arabia's unification.,https://s7g10.scene7.com/is/image/aviationservicesstage/frankfrut-1,71,/discover-riyadh/diriyah,5000,0,RUH,CDG,SAR,en,CDG-RUH,2025-04-25T14:29:55
RUH-CAI-EN,Cairo,riyadhair:kingdom-of-saudi-arabia,A vibrant experience in the heart of Egypt.,https://s7g10.scene7.com/is/image/aviationservicesstage/cairo?fmt=png-alpha,92,/discover-riyadh/diriyah,5000,0,CAI,RUH,SAR,en,RUH-CAI,2025-05-01T05:02:33
RUH-DXB-EN,Dubai,riyadhair:kingdom-of-saudi-arabia,Off to Dubai – never coming back.,https://s7g10.scene7.com/is/image/aviationservicesstage/dubai,59,/discover-riyadh/diriyah,5000,0,DXB,RUH,SAR,en,RUH-DXB,2025-04-29T13:23:58
DMM-KUL-EN,Kuala Lumpur,riyadhair:kingdom-of-saudi-arabia,Malaysia’s sunrise – a new day in paradise.,https://s7g10.scene7.com/is/image/aviationservicesstage/Malaysia,76,/discover-riyadh/diriyah,5000,0,KUL,DMM,SAR,en,DMM-KUL,2025-05-01T12:27:02
RUH-JED-EN,Jeddah,riyadhair:kingdom-of-saudi-arabia,Fun and endless activities await in Jeddah.,https://s7g10.scene7.com/is/image/aviationservicesstage/jeddah,122,/discover-riyadh/diriyah,5000,0,JED,RUH,SAR,en,RUH-JED,2025-05-01T02:58:05
RUH-LHR-EN,London,riyadhair:kingdom-of-saudi-arabia,A vibrant experience in the heart of London.,https://s7g10.scene7.com/is/image/aviationservicesstage/frankfrut-1,63,/discover-riyadh/diriyah,5000,0,LHR,RUH,SAR,en,RUH-LHR,2025-04-29T06:33:18
JFK-CDG-EN,Paris,riyadhair:kingdom-of-saudi-arabia,"Bonjour, Paris!",https://s7g10.scene7.com/is/image/aviationservicesstage/paris-1,55,/discover-riyadh/diriyah,5000,0,CDG,JFK,SAR,en,JFK-CDG,2025-04-25T14:27:24
DEL-SIN-EN,Singapore,riyadhair:kingdom-of-saudi-arabia,"City lights, city sights – Singapore nights.",https://s7g10.scene7.com/is/image/aviationservicesstage/Singapore-1,68,/discover-riyadh/diriyah,5000,0,SIN,DEL,SAR,en,DEL-SIN,2025-04-29T12:25:01
CDG-JFK-EN,New York,riyadhair:kingdom-of-saudi-arabia,New York – where the future comes to audition.,https://s7g10.scene7.com/is/image/aviationservicesstage/new-york,99,/discover-riyadh/diriyah,5000,0,JFK,CDG,SAR,en,CDG-JFK,2025-05-01T14:26:17
RUH-CDG-EN,Paris,riyadhair:kingdom-of-saudi-arabia,"Bonjour, Paris!",https://s7g10.scene7.com/is/image/aviationservicesstage/paris-1,57,/discover-riyadh/diriyah,5000,0,CDG,RUH,SAR,en,RUH-CDG,2025-04-29T10:35:37
RUH-JFK-EN,New York,riyadhair:kingdom-of-saudi-arabia,New York – where the future comes to audition.,https://s7g10.scene7.com/is/image/aviationservicesstage/uae-1,71,/discover-riyadh/diriyah,5000,0,JFK,RUH,SAR,en,RUH-JFK,2025-04-29T12:08:35
JFK-DMM-EN,Dammam,riyadhair:kingdom-of-saudi-arabia,Lost in Dammam’s charm.,https://s7g10.scene7.com/is/image/aviationservicesstage/Dammam,85,/discover-riyadh/diriyah,5000,0,DMM,JFK,SAR,en,JFK-DMM,2025-04-25T14:34:56
LHR-DEL-EN,New Delhi,riyadhair:kingdom-of-saudi-arabia,Delhi – a city of dreams where anything is possible.,https://s7g10.scene7.com/is/image/aviationservicesstage/uae-1,72,/discover-riyadh/diriyah,5000,0,DEL,LHR,SAR,en,LHR-DEL,2025-05-01T11:08:46
RUH-BOM-AR,مومباي,riyadhair:kingdom-of-saudi-arabia,"مومباي - ""مدينة الأحلام"".",https://s7g10.scene7.com/is/image/aviationservicesstage/paris-1,51,/discover-riyadh/diriyah,5000,0,BOM,RUH,SAR,ar,RUH-BOM,2025-04-25T03:06:28
CDG-RUH-AR,الرياض,riyadhair:kingdom-of-saudi-arabia,قلعة قديمة ترمز إلى توحيد المملكة العربية السعودية.,https://s7g10.scene7.com/is/image/aviationservicesstage/frankfrut-1,51,/discover-riyadh/diriyah,5000,0,RUH,CDG,SAR,ar,CDG-RUH,2025-04-27T06:05:02
