## RECSRecommendations Upload File,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date
KHI-RUH-EN,Riyadh,riyadhair:non-ksa,An ancient fortress that symbolizes Saudi Arabia's unification.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/riyadh,56,/discover-riyadh/diriyah,5000,0,RUH,KHI,SAR,en,KHI-RUH,2025-07-12T07:42:41
RUH-BOM-EN,Mumbai,riyadhair:kingdom-of-saudi-arabia,Mumbai; the 'City of Dreams',https://riyadhairdev.scene7.com/is/image/aviationservicesdev/mumbai,99,/discover-riyadh/diriyah,5000,0,BOM,RUH,SAR,en,RUH-BOM,2025-07-18T09:24:12
AMM-JED-EN,Jeddah,riyadhair:non-ksa,Fun and endless activities await at Jeddah.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/jeddah,56,/discover-riyadh/diriyah,5000,0,JED,AMM,SAR,en,AMM-JED,2025-07-14T08:22:35
CDG-RUH-EN,Riyadh,riyadhair:kingdom-of-saudi-arabia,An ancient fortress that symbolizes Saudi Arabia's unification,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/riyadh,87,/discover-riyadh/diriyah,5000,0,RUH,CDG,SAR,en,CDG-RUH,2025-07-16T01:38:00
RUH-CAI-EN,Cairo,riyadhair:kingdom-of-saudi-arabia,Vibrant experience in the heart of Egypt,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/cairo?fmt=png-alpha,66,/discover-riyadh/diriyah,5000,0,CAI,RUH,SAR,en,RUH-CAI,2025-07-16T01:35:55
RUH-DXB-EN,Dubai,riyadhair:kingdom-of-saudi-arabia,Going to Dubai; be back never,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/dubai,104,/discover-riyadh/diriyah,5000,0,DXB,RUH,SAR,en,RUH-DXB,2025-07-16T14:37:34
RUH-AMM-EN,Amman,riyadhair:non-ksa,Lost in the wonders of Ammam.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/Ammam,68,/discover-riyadh/diriyah,5000,0,AMM,RUH,SAR,en,RUH-AMM,2025-07-16T09:35:16
RUH-SIN-EN,Singapore,riyadhair:non-ksa,City lights; city sights – Singapore nights.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/Singapore,121,/discover-riyadh/diriyah,5000,0,SIN,RUH,SAR,en,RUH-SIN,2025-07-14T10:24:38
DMM-KUL-EN,Kuala Lumpur,riyadhair:kingdom-of-saudi-arabia,Malaysia’s sunrise: A new day in paradise.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/Malaysia,63,/discover-riyadh/diriyah,5000,0,KUL,DMM,SAR,en,DMM-KUL,2025-07-14T00:25:47
RUH-JED-EN,Jeddah,riyadhair:kingdom-of-saudi-arabia,Fun and endless activities await at Jeddah,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/jeddah,66,/discover-riyadh/diriyah,5000,0,JED,RUH,SAR,en,RUH-JED,2025-07-16T00:33:09
RUH-LHR-EN,London,riyadhair:kingdom-of-saudi-arabia,Vibrant experience in the heart of London,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/london,50,/discover-riyadh/diriyah,5000,0,LHR,RUH,SAR,en,RUH-LHR,2025-07-12T07:11:45
RUH-DEL-EN,New Delhi,riyadhair:non-ksa,Delhi is a city of dreams where anything is possible.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/delhi,60,/discover-riyadh/diriyah,5000,0,DEL,RUH,SAR,en,RUH-DEL,2025-07-18T14:18:09
CAI-RUH-EN,Riyadh,riyadhair:non-ksa,An ancient fortress that symbolizes Saudi Arabia's unification.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/riyadh,60,/discover-riyadh/diriyah,5000,0,RUH,CAI,SAR,en,CAI-RUH,2025-07-18T14:00:26
JFK-CDG-EN,Paris,riyadhair:kingdom-of-saudi-arabia,Bonjour Paris,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/paris,100,/discover-riyadh/diriyah,5000,0,CDG,JFK,SAR,en,JFK-CDG,2025-07-14T06:02:59
RUH-KUL-EN,Kuala Lumpur,riyadhair:non-ksa,"Extensive forests; beautiful beaches; exotic wildlife; and majestic volcanoes.	",https://riyadhairdev.scene7.com/is/image/aviationservicesdev/Malaysia,125,/discover-riyadh/diriyah,5000,0,KUL,RUH,SAR,en,RUH-KUL,2025-07-16T02:32:45
RUH-MNL-EN,Manila,riyadhair:non-ksa,Extensive forests; beautiful beaches; exotic wildlife and majestic volcanoes.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/Philippines,66,/discover-riyadh/diriyah,5000,0,MNL,RUH,SAR,en,RUH-MNL,2025-07-12T00:25:20
DEL-SIN-EN,Singapore,riyadhair:kingdom-of-saudi-arabia,City lights; city sights - Singapore nights.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/Singapore,68,/discover-riyadh/diriyah,5000,0,SIN,DEL,SAR,en,DEL-SIN,2025-07-14T02:05:09
RUH-KHI-EN,Karachi,riyadhair:non-ksa,A vibrant hub of culture; history; commerce and diversity.,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/Karachi,61,/discover-riyadh/diriyah,5000,0,KHI,RUH,SAR,en,RUH-KHI,2025-07-12T01:27:54
CDG-JFK-EN,New York,riyadhair:kingdom-of-saudi-arabia,New York is where the future comes to audition,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/new-york,64,/discover-riyadh/diriyah,5000,0,JFK,CDG,SAR,en,CDG-JFK,2025-07-14T10:32:00
RUH-CDG-EN,Paris,riyadhair:kingdom-of-saudi-arabia,Bonjour Paris,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/paris,88,/discover-riyadh/diriyah,5000,0,CDG,RUH,SAR,en,RUH-CDG,2025-07-14T14:52:21
RUH-JFK-EN,New York,riyadhair:kingdom-of-saudi-arabia,New York is where the future comes to audition,https://riyadhairdev.scene7.com/is/image/aviationservicesdev/new-york,56,/discover-riyadh/diriyah,5000,0,JFK,RUH,SAR,en,RUH-JFK,2025-07-18T05:10:51
